QuadStick Configuration,Version 1.4,https://docs.google.com/a/quadstick.com/spreadsheets/d/1HecQOiDXP5m1MT339oVTZ2yY-NPqeMunW2eJd_PED8o/edit,Mac
kb_left_gui,normal,mp_center_sip,
kb_c,normal,mp_center_sip,
kb_left_gui,normal,mp_center_puff_soft,
kb_v,normal,mp_center_puff_soft,
kb_left_alt,normal,mp_left_sip_soft,
kb_z,normal,mp_left_center_sip_soft,
kb_slash,normal,mp_left_center_puff_soft,

Profile Name,,Mouse Mode,
,,Normal,
Output or Function,Function,usb,
increment_mode,normal,right_sip,
decrement_mode,normal,right_puff,
mouse_left,normal,
mouse_right,normal,
mouse_up,normal,
mouse_down,normal,
kb_up_arrow,greater_than 50,up,
kb_down_arrow,greater_than 50,down,
kb_left_arrow,greater_than 50,left,
kb_right_arrow,greater_than 50,right,
kb_left_gui,normal,lip,
kb_left_shift,delay_on 1000,lip,
mouse_left_button,normal,mp_center_puff,
mouse_right_button,normal,mp_right_puff,
mouse_middle_button,normal,mp_left_puff,
kb_enter,normal,mp_right_sip,
kb_escape,normal,mp_left_puff_soft,
kb_tab,normal,mp_left_sip,
kb_left_shift,normal,mp_left_center_puff,
kb_left_control,normal,mp_left_center_sip,
kb_backspace,normal,mp_right_puff_soft,
kb_delete,normal,mp_right_sip_soft,
kb_left_gui,normal,mp_center_sip_soft,
kb_x,normal,mp_center_sip_soft,
kb_left_gui,normal,mp_center_sip,
kb_c,normal,mp_center_sip,
kb_left_gui,normal,mp_center_puff_soft,
kb_v,normal,mp_center_puff_soft,
kb_left_alt,normal,mp_left_sip_soft,
kb_z,normal,mp_left_center_sip_soft,
kb_slash,normal,mp_left_center_puff_soft,

Profile Name,,Left joy,
,,Normal,
Output or Function,Function,usb,
increment_mode,normal,right_sip,
decrement_mode,normal,right_puff,
dpad_N,normal,
dpad_NE,normal,
dpad_E,normal,
dpad_SE,normal,
dpad_S,normal,
dpad_SW,normal,
dpad_W,normal,
dpad_NW,normal,
left_joy_left,normal,left,
left_joy_right,normal,right,
left_joy_up,normal,up,
left_joy_down,normal,down,
right_joy_left,normal,
right_joy_right,normal,
right_joy_up,normal,
right_joy_down,normal,
left_1,normal,mp_left_sip,
left_2,normal,mp_left_puff,
left_3,normal,mp_left_center_sip,
right_1,normal,mp_right_sip,
right_2,normal,mp_right_puff,
right_3,normal,mp_right_center_sip,
x,normal,lip,
circle,normal,mp_center_puff,
square,normal,mp_center_sip,
triangle,normal,mp_right_center_puff,
select,normal,mp_left_sip_soft,
select,normal,right_sip_soft,
ps3,normal,mp_center_sip_soft,
start,normal,mp_right_sip_soft,

Profile Name,,Left joy,
,,Normal,
Output or Function,Function,usb,
increment_mode,normal,right_sip,
decrement_mode,normal,right_puff,
dpad_N,normal,
dpad_NE,normal,
dpad_E,normal,
dpad_SE,normal,
dpad_S,normal,
dpad_SW,normal,
dpad_W,normal,
dpad_NW,normal,
left_joy_left,normal,
left_joy_right,normal,
left_joy_up,normal,up,
left_joy_down,normal,down,
right_joy_left,normal,left,
right_joy_right,normal,right,
right_joy_up,normal,
right_joy_down,normal,
left_1,normal,mp_left_sip,
left_2,normal,mp_left_puff,
left_3,normal,mp_left_center_sip,
right_1,normal,mp_right_sip,
right_2,normal,mp_right_puff,
right_3,normal,mp_right_center_sip,
x,normal,lip,
circle,normal,mp_center_puff,
square,normal,mp_center_sip,
triangle,normal,mp_right_center_puff,
select,normal,mp_left_sip_soft,
select,normal,right_sip_soft,
ps3,normal,mp_center_sip_soft,
start,normal,mp_right_sip_soft,

Profile Name,,Right joy,
,,Normal,
Output or Function,Function,usb,
increment_mode,normal,right_sip,
decrement_mode,normal,right_puff,
dpad_N,normal,
dpad_NE,normal,
dpad_E,normal,
dpad_SE,normal,
dpad_S,normal,
dpad_SW,normal,
dpad_W,normal,
dpad_NW,normal,
left_joy_left,normal,
left_joy_right,normal,
left_joy_up,normal,
left_joy_down,normal,
right_joy_left,normal,left,
right_joy_right,normal,right,
right_joy_up,normal,up,
right_joy_down,normal,down,
left_1,normal,mp_left_sip,
left_2,normal,mp_left_puff,
left_3,normal,mp_left_center_sip,
right_1,normal,mp_right_sip,
right_2,normal,mp_right_puff,
right_3,normal,mp_right_center_sip,
x,normal,lip,
circle,normal,mp_center_puff,
square,normal,mp_center_sip,
triangle,normal,mp_right_center_puff,
select,normal,mp_left_sip_soft,
select,normal,right_sip_soft,
ps3,normal,mp_center_sip_soft,
start,normal,mp_right_sip_soft,

Profile Name,,D-Pad,
,,Normal,
Output or Function,Function,usb,
increment_mode,normal,right_sip,
decrement_mode,normal,right_puff,
dpad_N,normal,N,
dpad_NE,normal,NE,
dpad_E,normal,E,
dpad_SE,normal,SE,
dpad_S,normal,S,
dpad_SW,normal,SW,
dpad_W,normal,W,
dpad_NW,normal,NW,
left_joy_left,normal,
left_joy_right,normal,
left_joy_up,normal,
left_joy_down,normal,
right_joy_left,normal,
right_joy_right,normal,
right_joy_up,normal,
right_joy_down,normal,
left_1,normal,mp_left_sip,
left_2,normal,mp_left_puff,
left_3,normal,mp_left_center_sip,
right_1,normal,mp_right_sip,
right_2,normal,mp_right_puff,
right_3,normal,mp_right_center_sip,
x,normal,lip,
circle,normal,mp_center_puff,
square,normal,mp_center_sip,
triangle,normal,mp_right_center_puff,
select,normal,mp_left_sip_soft,
select,normal,right_sip_soft,
ps3,normal,mp_center_sip_soft,
start,normal,mp_right_sip_soft,

Preferences,
,,,,
Preference,Value,Units,Description,
enable_DS3_emulation,0,,Force default USB config even if prefs set for PS4,

